address,underlyingValue,debt
0x38e729d3f3a1ff6125d90018c1af14d1e78d46be,5554542955127368,-290017108084403
0x391fb1b5babd261cd0c42b91460859f546d7ca9b,99546592344136020,-13260779020912966
0x39441dfdf4dc539c405f841f2c260588904ec754,202918961008780500,-3669583549867073
0x3955b77219816ee662ffe5a9c211eace032dc5bd,1327333777275545000,304094423809296486
0x399e0ae23663f27181ebb4e66ec504b3aab25541,306461671131675100,-26792182618884289
0x39cf0d1c38a83313b81624039afc2274c5cb0e10,1000018662983816,-6590502874038
0x3b15cec2d922ab0ef74688bcc1056461049f89cb,473417002261169,-48605259614244
0x3b32b8ab708b2363b43fbddc43a3dcb3d48e8c7c,4750000000000000000,723140010157880456
0x3b3b6ca39b8c1af5628cafb1fee567a04aa35b98,3001711410117077,-54422790527508
0x3b4e15ef7ee5ae55a101a749085c54f50756a5e7,2800000000000000000,1036133652236104093
0x3b63bd52c7d2d56954428b2cb75c573ae6010714,317906355780973250,-22701088192071977
0x3bf39e4677efb07a775437b5e4bd6acf12906858,2499999999999999,-14122429683620
0x3d49c72784c4558366c3088779e3d26d2c5e1702,526326455069734,222679557014390
0x3d61debad7482e4bd0dd9ea746d7bb2be2b056d1,1552999999999999,-136060375694519
0x3d78ace36ab76eae6dbfda33e2835873bccc095d,250000000000000000,123593746119005779
0x3d991647768308d99e69df07980cc800bec536b1,5153994438532949,-452859067963404
0x3db79f7aeae37b9ab8548b42f94f1f36cbaae5a7,40000000000000000,-1073057277998257
0x3e13c28a5dd51850ce93de686fa52156e56f59eb,160609338559844220000,75879122499224439142
0x3e174bfed0a5a48a66e962decb712de220294255,248058983517362900,54994662647722500
0x3eff3d3922b5dea60d834581ff9f743e2129f079,10492640072981018,2399907530640589
0x3f0290be7f571c85ebefe31c580f4666769406f3,15418306066839438,3532360119046075
0x3f7b9726ec557d18e43dd8f4390b0359be454a61,250000000000000000,52271178619429738
0x3f8bf14bd9277476c108aac5306ff3015775bc3e,16920144393551134,1757747552186126
0x3fcad04a877d8045fda33e5cfea22ab9213612b2,1320000000000000000,207726192573244446
0x4008365c80e569889d5e0d7c1264bcbe3595b776,9999999999999990,-494376373450991
0x403490bc2f346065c8cddb7c1cb24dda049f4367,30727617007164710000,14808833965453833404
0x4060a97fe2ac24d912472aea5d1c063779360fef,957741931092008,-84152616661969
0x416a954e18f18f01763f9190cc67eeb3bdc0b469,473686134288066,-41620739765862
0x4216c2fc321dce8de1eb46f4da0be3287117cf25,450000000000000000,100014161169150174
0x428ae11528b1beac0eeae911f220be4090ea8ea5,100000000000000000,-1792265229537629
0x42c123f65e0e9235937e036a3c740f136d8c1a0e,707777269581686900,273175100660683390
0x42c9a3f034592c39028aea70a6e69fbc6ccf6c31,5005427286813167,2259453336176215
0x4337dea57db20c89ad6992496af80a7843b83957,14989308518386178000,6364951222776439632
0x43510b8051be33caebaeb248c23fa2db6b1d7f1d,8399999999999998,-676988736102162
0x43ec8371d3d8d00ff35a9971356f398b706e0925,100000000000000000,31064826831834090
0x44af89b345b09aeeffc175bf43c2502d77e1a76a,2728720974853712400,911775439520259874
0x44d93969eec7226fff57cc6dd97fea1cea6a5fd1,41826909061725680,20378237701237859
0x45158fab0a55a654009cb6c4e1f8891bad8473c9,4040000000000000000,673339846527216552
0x45953126d2c2b7318d0911c1cf1757ccfc55cdcf,500000000000000000,-8961326147688147
0x45bc3a526dcadba4649466e6c890ff168aeeb55a,301507952170473,-30112827285849
0x46505514038feb100498c1d6a22c9b68e6fc2fcc,500000000000000000,107387315077235774
0x46bf25a883bbd00f3715209c88e6cb3ad598acf1,130000000000000000,-2329944798398918
