address,underlyingValue,debt
0x2dd34135b5af21e8d0817902793e6398cd5b2b66,388439275565441,187976984569868
0x2ef203c1c9d63fc8d4f64057b2f63d2d437ad7f4,100000476938157,-4623449184704
0x2efae224b795420e450a09de3ef6a13cb420baa2,6000000130081486,2734726103176152
0x2f1454a5bd2d9a2a7d9d9bfa21619cfbb1c5afbd,10005031602653302,-1158900108986271
0x2f43eedaee56684b3d5885c98f22aa5abf200e03,3642820697636963,1804894128136270
0x2f47a6d6115af4fc1935f5c9079c8acba92e5ab4,1985650264173617,-13843756203184
0x2fa0db556bb6f400a295c19347565c2b65729857,2752387315928213,-334806718009430
0x3004f2dedfe5451d0e9621933a51f9a33e5c3421,294000000000000,-13907970498696
0x301a932d3faba362fd5fe592039f74658dc0945a,2600000000000000,982358457232454
0x304a47a2c62fc8b6acbe7fa713a2451787831338,340000000000000,-15719652254975
0x308611007ad69b20ee25bf2a6f3c5f81e94f336e,110000000000000,-5085769847197
0x30aeecd4365cc5d30a7c949f8370aa59f3511869,249837710156892,115774210663180
0x31fe14942b1ee7cf235f4072f078c23d428ce5db,200000000000000000,93736617373998454
0x32660025e6e2071de1b94e99d583648af53bea6d,268124198929474,129739530477865
0x3317c036be424b3efb57c985d46dfa8fe141aeef,948913393629263,449808609713005
0x334256ee41a63bd7c34d97eb37252b271af0763e,2602072702693433,979695064622044
0x337844866ce1f51be8eb9f3a4882b5cb891edba5,29407111165469540,11247991249423936
0x33bd8d5a4f40285df90694ccb29d6f5859c3977e,107503044743595650,-10626697572159846
0x33d4abf7bb9e84c7c186c022af4547e5e715251e,241541031333879,-11167473581990
0x3495799f3d8a75424311725b941fd7a9cff4ef93,2740495790049083,1362073102374846
0x350dedcc07acc2b3a430037435451b8d17fe3248,40018794400274940,-2424227825128245
0x358d0ec0ceb0699ddf10b072c9d48c64a74a87ee,1008430454908262,453721050407817
0x35a6f5ac4a30ecdbf3a8126caf878e65a62eda47,2599600867309965,-266668932445602
0x35c8e7145fc7c119de7b0f5d37511f288ed8ad96,10000000000000000,2547532527817128
0x35e4535b8fb48eb815429104d74b3792d0e730db,2591343247793259,1279917397677024
0x3631f39d7e7f8c4603ca67e12d49ad59b5ca362a,293982704856444,-30156957957419
0x368e096e4e662724f25e68fe65f1e9ea70032667,2600000000000000,-111986515796468
0x377704eca6a1d5a4f4721c51764564a32321469f,13559678483224005000,6717603511699317331
0x380044659bd0344646766157f7a122809398b239,3083755250785704,-139529894315366
0x381f97e127c363ba5064558dd60922c043acfeb8,20005661810724176000,9897196575740556504
0x38430336153468dcf36af5cea7d6bc472425633a,15041362757084042,-802061499902710
0x387d1834ccd9ba354e49605753c95ce746f7dfcb,100000838663574,-3524712668628
0x39082010bae9486afb86a75a3f298c2737570f0f,190252601170185,-19516251813561
0x39190a445eb3389769594b84d729cf00c2aeee03,3001251341551424,-347640131980866
0x396f0e55fa33513441d556f84a6ea5c6fd7d217b,2500000344787639,884414305713587
0x397285f470ad42c967a2573f14dbe0242fd541d3,2500000000000000,-113116868045718
0x3972a9dfc76524687540e8b439c9767173dea076,399401829756619,-22726305395265
0x397fde3984d13aa6958c7070b06614524e10bb6f,2600000000000000,-114952019464813
0x39f9dbe4a60b5f017d95889ef9dc50b58cc543ca,2181088033910303,996600767123234
0x3a4711453165ac75e029cb9c4cda924c7e19c9a2,263515717383816,-11923229052511
0x3a53c4d69942be0d49e871e515c602bcf98b3aa1,13000000000000000,3511792286162266
0x3aceb77bf88c3a92079baa8db3ddb172e3636bb7,2100000000000000,959549352625929
0x3bd77b00f02c8bcff586c565e2c5e6b6c5878ec3,3035822206112692,673227975587921
0x3be58bb07b6c5330208f293e686b8691217eb016,2500000000000000,886883131954282
0x3beb5e96c21fee32c43bed747dc1fc4e57c5594e,100000219494658,-4524614079312
0x3c2573b002cf51e64ab6d051814648eb3a305363,1551620722100818,750643925594802
0x3c82d7169102b7834618141cafaa34c3a4697c0f,10002463033809106,4617460910547382
0x3d26d281e4a971a2e6ce7c9ffcb08cee6e85bddb,10000000000000000,1537657286618367
0x3d31b6eccd7a3109e8a497c4273b5d71f121dad4,6714387514686811,2896195805397342
0x3d78ace36ab76eae6dbfda33e2835873bccc095d,3400045809882326500,1546181891650820697
0x3d950b5a4a8d6007b161f17c2e35498f5e2afaf0,121801447490132,55654523851455
0x3dcdbd9e2bc163089964cc74c97d39aa7e65d633,2040429995727973,823814687493086
0x3ee35b46221459df96e8dc8cdd5470326073da1a,2499576193787919,743591670726894
0x3eeac46793aa5f2d65b896b364b8e7e753bdef10,1717272666263307,828320383630834
0x3f3623c56cc427ea34d37086a14869957a036a17,100000033943051,-4524676257641
0x4018c136ae4619ecede21fbe1f043dc00d59455f,159227985185581,73247248771328
0x4035913519c6edc7e7ad0d14f3d60e81f9ea70ce,11493490659254440000,5091086392746157441
0x4048d58978b21a648b1329aea71301b9e2b3ccc9,3000000053350271,1364259782606348
0x4050fb99522a60e9ab875935fcf6d211c17d98c3,474505971709164300,237068924968475081
0x4057148723e759b87c4c2bbd8f97c79e095dd4b8,2000000000000001,909506505563426
0x406c0c92b5bb8e9b890e5bc7a33870a83a950efb,100042402072510,-79942139186934
0x409bd82cf7071daa870540495cfa21ae49e69f00,3514812021532870,1349695562200668
